ra,mag,decrad,con
3.036904,8.87,-0.81143439,Phoenix
2.952676,7.28,-0.707392307,Phoenix
2.456996,8.89,-1.28318277,Hydrus
2.152457,9.13,-0.601583359,Fornax
1.351686,8.73,0.012961183,Cetus
2.119227,8.09,-0.58382373,Fornax
2.265508,9.17,-0.89862072,Horologium
1.041563,8.1,1.454910108,Cepheus
0.709699,7.08,1.220964412,Cassiopeia
2.418157,9.23,-1.122178202,Hydrus
0.273808,8.8,0.66578152,Andromeda
2.83197,10.78,-0.991968391,Phoenix
3.533732,9.48,-0.486836478,Sculptor
3.162682,10.38,0.209196171,Pisces
1.939567,11.08,-0.264118881,Eridanus
1.248015,9.15,-0.310914874,Cetus
0.067721,8.43,0.771027188,Andromeda
0.559004,9.41,1.198657555,Camelopardalis
3.739332,7.69,0.030505794,Taurus
3.836098,11.26,-1.073611785,Tucana
3.198878,9.22,0.327061643,Pisces
0.521252,9.35,1.044825563,Camelopardalis
0.179681,8.44,0.657506645,Andromeda
2.27616,4.98,-1.118254861,Horologium
1.304283,6.91,-0.213733721,Cetus
2.135407,8.31,-0.607190924,Fornax
0.721506,7.49,1.317616101,Cassiopeia
1.251256,10.09,-0.030182678,Cetus
0.021475,8.61,0.825660041,Andromeda
0.543189,9.35,1.21303575,Camelopardalis
0.553134,6.98,1.219036576,Camelopardalis
2.512904,6.59,0.306344875,Pegasus
0.423682,7.66,0.361155284,Aries
2.160032,8.66,-0.646499532,Fornax
2.783399,9.76,0.659600152,Perseus
0.275683,7.42,0.707739834,Andromeda
1.397229,9.81,-0.397696747,Cetus
2.173224,8.98,-0.52337942,Fornax
1.276662,9.46,-0.109858999,Cetus
1.276804,9.45,-0.259080585,Cetus
0.967402,7.63,1.195998937,Cassiopeia
1.840387,8.9,-0.297308182,Eridanus
1.005129,7.95,1.485148029,Cepheus
2.096267,9.66,-0.674590957,Fornax
1.483829,9.28,-0.28480256,Cetus
1.019653,7.86,1.545517604,Cepheus
2.184993,9.03,-0.464445497,Fornax
0.299465,6.69,0.676053816,Andromeda
2.784933,9.17,0.853513181,Perseus
2.884379,9.54,-0.887371521,Phoenix
1.334164,8.61,-0.013579905,Cetus
2.457963,8.39,-1.262255092,Hydrus
0.184584,9.09,0.734281355,Andromeda
1.37874,8.38,-0.181063716,Cetus
3.199263,8.15,0.558520504,Pisces
0.695106,8.13,1.194978657,Cassiopeia
2.761241,5.3,0.803843878,Perseus
1.702605,8.51,-0.886954534,Eridanus
0.875517,7.78,1.253865323,Cassiopeia
2.928132,7.19,-1.001578934,Phoenix
3.606761,10.52,-0.455600981,Sculptor
1.153631,8.03,0.031163224,Cetus
1.08266,8.24,-0.194915326,Cetus
3.184599,8.97,0.093301161,Pisces
0.916551,8.84,1.065861456,Cassiopeia
1.552213,8.62,-0.151849262,Cetus
1.906584,7.05,-0.264031682,Eridanus
0.749866,10.58,1.219618947,Cassiopeia
2.755444,8.16,0.591544408,Perseus
0.07159,7.56,0.458651562,Andromeda
1.841548,7.37,-0.702593115,Eridanus
3.392391,9.05,-1.040363606,Reticulum
2.705483,8.47,0.888821889,Perseus
2.559107,8.97,0.845312403,Perseus
2.513136,8.77,0.411461971,Pegasus
2.675175,8.88,0.889379599,Perseus
1.140671,8.42,-0.073876576,Cetus
1.101431,9.52,-0.04386663,Cetus
0.093108,5.14,0.77647232,Andromeda
3.861612,11.04,-1.282323527,Tucana
0.305986,8.48,0.885959177,Andromeda
1.607303,9.43,-0.018314413,Cetus
0.204388,8.63,0.766127208,Andromeda
2.664377,8.94,0.817282922,Perseus
1.381556,8.66,-0.397369302,Cetus
3.038129,8.78,-0.872210338,Phoenix
1.565551,9,-0.1494968,Cetus
0.60783,7.88,0.937437898,Cassiopeia
1.359114,8.23,-0.377336159,Cetus
3.54219,6.61,-0.666973608,Sculptor
1.946186,6.99,-0.668142972,Eridanus
2.655041,8.68,0.623808445,Perseus
0.485724,8.18,0.520662448,Aries
0.089347,8.56,0.638424393,Andromeda
2.190429,7.23,-0.585480823,Fornax
2.585572,8.52,0.993179767,Perseus
2.652093,8.59,0.886570027,Perseus
1.769504,9.97,-0.277600406,Eridanus
2.389733,8.56,-1.287535585,Hydrus
2.291874,10.2,-0.860178122,Horologium
2.905826,8.64,-0.971453372,Phoenix
2.356144,8.05,-1.323215208,Hydrus
0.097727,8.97,0.656785454,Andromeda
1.139399,9.09,-0.198392016,Cetus
0.985388,7.36,1.277135896,Cepheus
1.910497,8.92,-0.283375422,Eridanus
1.504591,9.98,-0.355212713,Cetus
2.301657,8.09,-0.89188754,Horologium
2.294422,9.69,-0.818013795,Horologium
2.004113,7.36,-0.508133344,Fornax
3.720806,3.62,0.419811296,Taurus
2.699363,8.15,0.574151345,Perseus
2.527834,7.77,0.439786456,Pegasus
0.454085,7.41,0.543232972,Aries
3.185472,5.51,0.208983093,Pisces
2.20438,9.26,-0.599157556,Fornax
1.35145,9.52,-0.225456167,Cetus
0.44688,6.84,0.483846808,Aries
2.423106,9.23,-1.193652826,Hydrus
2.009317,9.38,-0.583120794,Fornax
3.157645,9.39,0.13239569,Pisces
1.873915,7.22,-0.078159378,Eridanus
0.42848,8.61,0.372545655,Aries
3.423396,9.46,-1.03700785,Reticulum
0.112581,9.02,0.380388119,Andromeda
1.088375,10.54,-0.382703572,Cetus
1.476208,8.84,-0.124377079,Cetus
3.621547,7.66,-0.547787303,Sculptor
1.025042,6.98,1.496378207,Cepheus
1.293189,7.56,-0.016933807,Cetus
