id,ra,dec,mag,x,y,z,rarad,decrad,con
0,0,0,-26.7,0.000005,0,0,0,0,
1,0.00006,1.089009,9.1,219.740502,0.003449,4.177065,1.56934E-05,0.019006788,Psc
2,0.000283,-19.49884,9.27,45.210918,0.003365,-16.008996,7.39611E-05,-0.340318952,Cet
3,0.000335,38.859279,6.61,344.552785,0.030213,277.614965,8.76263E-05,0.678222363,And
4,0.000569,-51.893546,8.06,82.835513,0.012476,-105.61954,0.000148954,-0.905713232,Phe
5,0.000665,-40.591202,8.55,195.714261,0.034068,-167.695291,0.000174033,-0.708450127,Phe
6,0.001246,3.946458,12.31,54.905296,0.017912,3.787796,0.000326224,0.06887868,
7,0.00147,20.036114,9.64,54.367897,0.020886,19.827115,0.000384723,0.34969616,Peg
8,0.001823,25.886461,9.05,180.654532,0.086213,87.668389,0.000477138,0.45180397,Peg
9,0.002355,36.585958,8.59,337.379614,0.207994,250.431996,0.000616563,0.63854543,And
10,0.002424,-50.866976,8.59,58.275424,0.037038,-71.623522,0.000634526,-0.887796216,Phe
11,0.002488,46.939997,7.34,163.34042,0.106439,174.793831,0.000651423,0.81925749,And
12,0.002727,-35.960225,8.43,249.053728,0.177782,-180.684145,0.00071389,-0.627624326,Scl
13,0.00278,-22.594705,8.8,92324.54832,67.196978,-38421.00027,0.000727804,-0.394351996,Cet
14,0.003228,-0.36045,7.25,205.757155,0.17389,-1.294442,0.000845121,-0.006291031,Psc
15,0.003356,50.791187,8.6,330.967664,0.290916,405.679189,0.000878643,0.886473445,Cas
16,0.003401,-40.192392,8.15,104.212982,0.092744,-88.043116,0.000890391,-0.701489583,Phe
17,0.003469,-54.914363,11.71,432.180376,0.395981,-615.258522,0.000908165,-0.95843644,Phe
18,0.003522,-4.05368,11.03,44.710745,0.041225,-3.168578,0.000922056,-0.070750068,Psc
19,0.003554,38.30405,6.53,195.693966,0.182078,154.572309,0.000930449,0.668531784,And
20,0.004203,23.529228,8.51,88.585158,0.097476,38.571692,0.00110022,0.4106625,Peg
21,0.004426,8.007234,7.55,187.547277,0.217307,26.382215,0.001158655,0.139752594,Psc
22,0.004674,-49.352266,8.69,207.454138,0.253838,-241.63337,0.001223765,-0.861359529,Phe
23,0.004971,13.312234,7.57,83.962827,0.109269,19.866919,0.001301332,0.232342318,Peg
24,0.005091,-23.452695,9.05,96.770874,0.129015,-41.982243,0.001332711,-0.409326747,Cet
25,0.0053,-44.290561,6.28,58.243094,0.080879,-56.818381,0.001387661,-0.773016124,Phe
26,0.005606,-13.393378,9.13,98.064726,0.14392,-23.350361,0.001467728,-0.233758542,Cet
27,0.00572,-41.297813,9.32,80.870646,0.121258,-71.041209,0.001497495,-0.720782814,Phe
28,0.005815,-43.361821,8.83,143.966634,0.219137,-135.961029,0.001522312,-0.756806541,Phe
29,0.006146,-49.107945,9.14,269.397158,0.433657,-311.088145,0.001609129,-0.857095331,Phe
30,0.006408,42.141474,8.26,181.293246,0.304102,164.049778,0.001677524,0.735507475,And
31,0.006539,2.675477,7.63,306.413678,0.524535,14.318687,0.001711853,0.046695886,Psc
32,0.006572,51.939487,9.09,203.462862,0.350076,259.85481,0.001720594,0.90651506,Cas
33,0.006611,-10.462385,8.1,111.874004,0.19364,-20.658692,0.001730876,-0.182603059,Cet
34,0.006638,26.918108,6.43,66.54131,0.115654,33.784832,0.001737862,0.469809617,Peg
35,0.006864,-14.490484,9.07,140.724913,0.2529,-36.369062,0.001796899,-0.25290666,Cet
36,0.006893,12.267128,7.68,180.288895,0.325359,39.201059,0.001804605,0.214101767,Peg
37,0.007022,-47.179567,10.44,259.428169,0.476909,-279.957073,0.001838443,-0.823438778,Phe
38,0.007429,-79.061983,8.65,8.026508,0.015848,-41.532715,0.001945017,-1.379891914,Oct
39,0.007485,-16.697009,7.46,88.606493,0.173657,-26.578231,0.00195955,-0.291417786,Cet
40,0.007771,54.302236,8.7,212.959233,0.433276,296.389159,0.002034492,0.947752818,Cas
41,0.008131,67.216783,10.61,38724.46552,82.422961,92197.66253,0.002128644,1.173154183,Cep
42,0.008362,25.844765,8.2,147.054957,0.321961,71.23111,0.002189287,0.451076239,Peg
43,0.008593,59.559679,6.18,69.024292,0.155048,117.45989,0.002249608,1.039512505,Cas
44,0.00885,-3.306323,7.91,335.01103,0.776192,-19.353759,0.002316911,-0.057706218,Psc
45,0.008941,-72.202717,9.59,19.043572,0.044508,-59.32361,0.00234073,-1.26017514,Tuc
46,0.008972,-25.622285,8.57,751.384895,1.76497,-360.363723,0.002348882,-0.44719324,Scl
47,0.009006,-56.835602,10.78,22.291838,0.052522,-34.111837,0.002357675,-0.991968391,Phe
48,0.009015,-40.690474,7.31,508.8863,1.201131,-437.565308,0.002360252,-0.710182746,Phe
49,0.009304,16.669049,9.53,360.140834,0.877278,107.835722,0.002435875,0.290929783,Peg
50,0.009533,-53.097713,6.49,35.677374,0.089097,-47.513999,0.002495807,-0.926729909,Phe
51,0.009561,1.066213,8.94,99982.37269,250.263031,1860.784651,0.002503066,0.018608921,Psc
52,0.009781,-77.020116,8.56,47.087672,0.12072,-204.286993,0.002560588,-1.34425462,Oct
53,0.009828,-29.263414,10.96,87237.87011,224.46559,-48882.54938,0.00257295,-0.510742923,Scl
54,0.01017,17.968908,10.57,47.75204,0.127177,15.48699,0.002662463,0.313616614,Peg
55,0.010549,-66.683173,7.4,25.702202,0.07125,-59.631861,0.002761618,-1.16384093,Tuc
56,0.010862,0.222931,8.12,253.804153,0.721721,0.987533,0.002843605,0.003890888,Psc
57,0.011212,-69.675965,8.27,10.374188,0.030419,-28.00908,0.002935397,-1.216074996,Tuc
58,0.011577,62.175898,7.05,18.112462,0.054853,34.318498,0.003030749,1.085174136,Cas
59,0.01163,55.72246,9.09,56319.95614,171.475741,82631.91326,0.003044671,0.972540396,Cas
60,0.011695,-64.465799,8.34,74.19065,0.227164,-155.306013,0.003061783,-1.125140446,Tuc
61,0.011749,53.822146,8.86,105.597675,0.324911,144.398682,0.003075908,0.939373651,Cas
62,0.011998,-45.422739,8.27,216.625621,0.680458,-219.847132,0.003141085,-0.792776348,Phe
63,0.012119,45.253334,6.36,132.325125,0.419892,133.501154,0.003172863,0.789819667,And
64,0.012305,-27.907582,8.08,215.536337,0.69433,-114.157726,0.00322143,-0.487079184,Scl
65,0.012498,-54.830524,11,31.509513,0.102901,-44.718378,0.003272084,-0.956973167,Phe
66,0.012567,-72.31822,8.55,38.642308,0.12708,-121.21608,0.00329014,-1.262191051,Tuc
67,0.013288,23.538219,7.83,137.862871,0.479653,60.054225,0.003478835,0.410819416,Peg
